"ep_airdate","tweet_id","text_clean","n_questions"
"2015-03-26","581235160076664834","If Greg Dyke can say ‘English places for English players’, why is Nigel Farage castigated for saying ‘English jobs for English workers’?",4
"2015-03-26","581238988863856640","After a petition exceeding one million  supporters who pay their annual  television licence, is it acceptable for  the BBC to sack Jeremy Clarkson?",4
"2015-04-02","583747719673597953","Was tonight’s debate a reflection of  the chaotic and uncertain government  we should expect after the general election?",5
"2015-04-02","583755524958748672","Will this election be the end of the first past the post system?",5
"2015-04-02","583755872804982785","With public services stretched to the  max, do we say the country is full?",5
"2015-04-02","583758609626046465","Why do British Muslims leave the relative peace of the UK to go and live under Islamic State?",5
"2015-04-02","583760136822468609","If you are all so committed to the health service, why not establish a multiparty select committee to plan and run it, and stop it being a political football?",5
"2015-04-09","586284132847771651","Following the Miliband/Fallon spat, at what point do the parties stop slinging mud and start selling themselves?",4
"2015-04-09","586287913031360513","Was Ed Balls right about the status of ‘non-doms’ in January, or is Ed Miliband right about it now?",4
"2015-04-09","586291640781971456","Was Tony Blair right to have involved himself in the EU referendum debate?",4
"2015-04-09","586296466135764993","Why should students trust Labour's promise to cut tuition fees?",4
"2015-04-16","588821397071335426","In the event of a hung parliament, who is more dangerous for the UK, UKIP or the SNP?",4
"2015-04-16","588825627886821376","With a hung parliament expected at the end of this election, can we trust any of the parties recent spending promises will be kept?",4
"2015-04-16","588829857745887232","In view of Sir David Nicholson's comments today about the financial state of the NHS, do any of the parties have realistic plans for the future of the health service?",4
"2015-04-16","588833654211764224","Right to buy has proved to be a popular policy. Just because it's popular does that make it right?",4
"2015-04-23","591357733762367488","Should the surviving migrants who crossed the Mediterranean sea be sent back to their countries of origin?",3
"2015-04-23","591361528810569728","Would it be a catastrophe for the United Kingdom if the SNP held the balance of power after the election?",3
"2015-04-23","591366309050482688","As voters, are we ‘in the dark’ about the four main parties spending plans, as the IFS says?",3
"2015-04-30","593852889933709312","Will you put to bed rumours that you plan to cut child tax credits and restrict child benefit to two children?",15
"2015-04-30","593856485261758464","Why do you think voters don't trust your party with our NHS?",15
"2015-04-30","593857916496674816","If we remain in the EU, how will you control immigration?",15
"2015-04-30","593859295852273665","If you are in a situation where you have to team up with another party, what policies would you be willing to compromise?",15
"2015-04-30","593860495494541312","Five years ago the outgoing Labour Treasury Minister's message was ""there's no money left”. Can we really trust the Labour Party with the UK economy?",15
"2015-04-30","593863145619378176","Why is the Labour Party misleading the country about having to do a deal with the SNP in the event of a Labour minority government?",15
"2015-04-30","593864386114093057","What makes your view more important  than the British people when it comes to  the EU and not offering a referendum?",15
"2015-04-30","593865563732054017","Is a vote for you carte blanche to see the welfare bill skyrocket?",15
"2015-04-30","593866831242330112","A ban on zero-hours contracts will prevent me from growing my small business. Isn't it time the Labour Party put business before gimmicks and sound bites?",15
"2015-04-30","593867051221045249","What are you going to do differently about immigration?",15
"2015-04-30","593867842392580097","Your promise on student loans has destroyed your reputation. Why would we ever believe anything else you say?",15
"2015-04-30","593869162621067267","Is leaking details you were only privy to as part of a coalition likely to help you be invited into a coalition again?",15
"2015-04-30","593870758339837952","How do you feel about the huge increase of people driven to use food banks - many of them in work poverty or falling foul of benefit sanctions?",15
"2015-04-30","593872248731267072","Is free movement within the EU creating a problem in the UK?",15
"2015-04-30","593873965019504641","With rising tension in Russia  and the middle East will you  support the need for the  Trident nuclear deterrent?",15
"2015-05-08","596763617049063424","Is Labour too right wing for Scotland and too left wing for England?",4
"2015-05-08","596767115950030848","Why has the electorate punished the Liberal Democrats for the coalition’s mistakes and rewarded the Conservatives for their successes?",4
"2015-05-08","596769803748139009","Is it fair that UKIP received four  million votes but only one seat?",4
"2015-05-08","596772232468258816","Can David Cameron keep Britain in Europe?",4
"2015-05-14","598967636983164929","Is there a place in today’s politics for “snarling, thin-skinned and aggressive” leaders?",3
"2015-05-14","598974047519649793","What concessions should the Prime Minister try and get for Britain from other EU member countries prior to the referendum?",3
"2015-05-14","598978811837972480","Is it fair that UKIP got the third highest vote share, yet only got one seat?",3
"2015-05-21","601504393347899394","Is it realistic to try and reduce net  migration below one hundred thousand?",5
"2015-05-21","601508484874686464","Is a 7 day NHS really viable?",5
"2015-05-21","601511814325735424","Is the British economy strong  enough to pull out of Europe?",5
"2015-05-21","601515368520294401","Is the backing of the trade unions the kiss of death for any Labour leadership candidate?",5
"2015-05-21","601517942111604738","Regarding the gay wedding cake — should the courts be deciding whose rights and beliefs are more of a priority?",5
"2015-05-28","604041251235717120","Apart from musical chairs and clapping, what should the SNP aim to achieve at Westminster?",5
"2015-05-28","604046679059349504","Should the home nations boycott the FIFA World Cup?",5
"2015-05-28","604048965328359424","If the people of Scotland vote to remain within the EU, but the UK as a whole vote to leave, what should happen?",5
"2015-05-28","604051689990131712","Should Alistair Carmichael resign?",5
"2015-05-28","604053255228891136","Should people with a terminal illness have the right to end their lives?",5
"2015-06-04","606577796589232128","With the public sector cuts announced today, can MPs justify a 10% pay rise?",2
"2015-06-04","606580991721918465","What changes would you like to see in the renegotiation with Europe?",2
"2015-06-11","609112628670177281","Is the Chancellor right to sell RBS  shares at a £7bn loss to the taxpayer?",6
"2015-06-11","609115960910487552","Should 16-17 year olds be allowed to vote in the EU Referendum?",6
"2015-06-11","609118984886190080","Is David Cameron using dirty tactics  to get his way in the EU Referendum?",6
"2015-06-11","609121266398826496","Will the northern powerhouse benefit the north east or just suck talent and finance away?",6
"2015-06-11","609123534221258752","Why are we becoming a surveillance  state, akin to Nineteen Eighty Four?",6
"2015-06-11","609125717729742851","When will we stop ISIS fascism?",6
"2015-06-18","611649551477420032","Is it right to blame the security services for not stopping the three sisters and their families from travelling to Syria?",5
"2015-06-18","611654150665990144","Would it really be SO bad if we were to find ourselves out of Europe?",5
"2015-06-18","611658143739871236","Should Nobel prize winning scientist Sir Tim Hunt have been forced to quit his job?",5
"2015-06-18","611661479201361920","Do we have a responsibility to help the immigrants fleeing Africa?",5
"2015-06-18","611663963596718080","lam 52 years old, a little heavy but  generally in good health.  What are the chances of me living  to see the conclusion of the Chilcot Inquiry?",5
"2015-06-25","614186179760623616","How can the Conservatives justify themselves as ‘the real party of working people’ with their proposed tax credit changes?",5
"2015-06-25","614189788413984772","If the decision was in your hands,  what would you do about Greece?",5
"2015-06-25","614195630932643840","What can the government do to stop the  flow of illegal immigrants coming across  the channel to the UK from Calais?",5
"2015-06-25","614198059719880705","To tackle health issues and rising obesity,  should high sugar and high fat foods have a  higher tax rate and healthy and locally  produced foods receive a tax incentive?",5
"2015-06-25","614199465696694276","Is Alan Milburn right when he said that anybody defending Labour's last general election manifesto is practicing a ""form of self-delusion""?",5
"2015-07-02","616722798753513472","ls it realistic to think that the UK can protect its citizens abroad and prevent a Tunisian tragedy in the future?",4
"2015-07-02","616728509562646528","Should teachers be responsible for monitoring their students for signs of radicalization?",4
"2015-07-02","616731867023319040","Would it be a good idea to charge for missed appointments at the doctor's surgery?",4
"2015-07-02","616734764066865152","Why does it matter to us if Greece vote yes or no on Sunday?",4
"2015-07-09","619259541289586688","Is the chancellor's living wage pledge as good as it sounds, giventax credit cuts will make people worse off?",4
"2015-07-09","619264682843578368","Is the scrapping of the maintenance grant for students the death knell of social mobility in the UK for this generation?",4
"2015-07-09","619269156253343744","Was Greece right to vote  no in the recent referendum?",4
"2015-07-09","619272012343734272","Who, if anyone, can lead the Labour party to success in 2020?",4
"2015-09-17","644627042789666816","Is Labour any more electable under Jeremy Corbyn than it was under Ed Miliband?",3
"2015-09-17","644636218567852032","Should Britain take in more refugees?",3
"2015-09-17","644640155328978944","Jeremy Corbyn is quoted as saying, ‘It's 'strange’ - some people are ‘over concerned’ about the national anthem.' Do the panel agree?",3
"2015-09-24","647163428184924161","Should we allow more refugees into the UK than we can cope with, given the housing crisis and strains on our public services?",4
"2015-09-24","647168123175571456","Does Britain need an alternative to austerity?",4
"2015-09-24","647172602922930176","ls putting a vegan who likens meat-eaters to smokers in charge of DEFRA contempt or inspired leadership?",4
"2015-09-24","647174979189084160","Do NHS hospitals being put under special measures for financial reasons show that NHS budget pressures have reached breaking point?",4
"2015-10-01","649700113477173250","Has Jeremy Corbyn’s refusal to press the nuclear button cost him his chance of being PM?",4
"2015-10-01","649705653720739840","Why do you think Plaid Cymru isn’t as successful as the SNP?",4
"2015-10-01","649709728516415489","Now Russia are bombing Syria, is it time for the UK to rule out air strikes in the region?",4
"2015-10-01","649713027621761024","Jeremy Corbyn has threatened to re-nationalise the railways if the Labour Party were to come into power in 2020. Do you consider this sensible?",4
"2015-10-08","652236867417579520","Is Theresa May right, does mass immigration make a cohesive society impossible?",4
"2015-10-08","652242189632864256","Cutting tax credits will push more people into poverty, so how can we believe David Cameron when he says that he wants to end poverty?",4
"2015-10-08","652247546191028224","Will we now have to do the unthinkable and side with Assad and Putin to defeat Isis?",4
"2015-10-08","652249480536965120","Is Jeremy Corbyn a 'Britain-hater'?",4
"2015-10-15","654778092137746432","How do we identify genuine refugees gathered in Calais and give them refuge whilst sending economic migrants back home?",3
"2015-10-15","654783446355546112","Should we have more grammar schools?",3
"2015-10-15","654785828376281088","Is the much-reported chaos in the Labour party’s policy making simply a sign of a healthy democracy — and to be celebrated?",3
"2015-10-22","657310470014173185","Is this government willing to intervene and rescue the UK steel industry?",4
"2015-10-22","657316650593730560","Should the UK be sucking up to a ‘rogue nation’ just for financial gain?",4
"2015-10-22","657320331573665792","Does the cut in working tax credits signal the death of compassionate Conservatives?",4
"2015-10-22","657323545350008832","Is sugar tax the answer to the NHS obesity difficulties?",4
"2015-10-29","659862196109856768","Is the House of Lords more in tune  with the British public than our elected  representatives in Westminster?",4
"2015-10-29","659866284457336832","With Corbyn as Leader, will the Labour Party be saved in Scotland?",4
"2015-10-29","659871062067388417","Was it right to bail out the banks but not the steel industry?",4
"2015-10-29","659875105410064384","Should there be an inquiry into the delay of the Chilcot Inquiry - and how long would this take?",4
"2015-11-05","662398723536920577","Would you support junior doctors if they decide to go on strike?",5
"2015-11-05","662402497873625088","Following the suspected bombing of a Russian airplane in Egypt this week, is it time to take full military action against I.S.?",5
"2015-11-05","662406110448627712","How do we house the high number of immigrants arriving considering the shortage of council houses available to existing UK residents?",5
"2015-11-05","662410119884488704","Are cuts to the police force endangering the public?",5
"2015-11-05","662412478534582273","Is the government turning our schools into joyless exam factories?",5
"2015-11-12","664935614505164800","Has David Cameron set his sights way too low with the renegotiation of Britain’s membership of the EU?",4
"2015-11-12","664939289147482112","Was Jeremy Corbyn’s bow at the Remembrance Day parade on Sunday really that insufficient and disrespectful, or are certain factions of the media using any excuse to bully him?",4
"2015-11-12","664943487499018240","With council budgets cutting social care and A&E’s already struggling, will the NHS fail this winter?",4
"2015-11-12","664948276341432320","Can we really afford to spend £500m  to help with the migration crisis when  there are so many cutbacks happening here?",4
"2015-11-19","667473272796266497","Is it time to take full military action against ISIS?",5
"2015-11-19","667479276770500608","Would declaring all-out war on ISIS be precisely what these terrorists want us to do?",5
"2015-11-19","667482717945229313","How are British citizens supposed to feel protected when Europe is welcoming jihadis back into our world, as apparent ‘refugees’?",5
"2015-11-19","667483894560784385","Is it more necessary than ever to acknowledge the need for mass surveillance to counter homegrown terrorists?",5
"2015-11-19","667485366941818880","Should Muslims take responsibility  for preventing radicalisation?",5
"2015-11-26","670009890258161664","Will bombing ISIS really make us any safer?",5
"2015-11-26","670014915168575488","Could the shooting down of a Russian jet lead to WW3?",5
"2015-11-26","670016541069615106","Does the Chancellor’s U-turn on tax credits mark the end of austerity?",5
"2015-11-26","670019652760805376","The NHS can’t meet the demands or expectations of our population. The future lies with expensive drugs and technology, things it wasn't designed for. Will the NHS inevitably be privatised?",5
"2015-11-26","670022332979806208","What are the long-term consequences of a Conservative government without any opposition?",5
"2015-12-03","672546586086514688","Was extending bombings to Syria the right or wrong decision?",3
"2015-12-03","672555368002777088","Has Hilary Benn’s speech in the House of Commons weakened Jeremy Corbyn’s leadership?",3
"2015-12-03","672558411377205252","Why did the government appear to  be so aggressive and ill-informed in its  negotiations with junior doctors?",3
"2015-12-10","675083212654292992","Should Donald Trump be banned from the UK?",6
"2015-12-10","675086114961629184","My farm in Bath floods every year (and the flooding is getting more extreme). What actions should the government be taking to protect ourselves and the environment?",6
"2015-12-10","675089243627266048","Is David Cameron's negotiation with the European Council for real or will the British public ultimately be sold a pup?",6
"2015-12-10","675092455797182465","Do the panel think Jeremy Corbyn has been treated fairly by the media?",6
"2015-12-10","675095705917267968","Why isn't more being done by the government to support people suffering with mental health conditions in the UK?",6
"2015-12-10","675097102641455104","Should Tyson Fury compete in Sports Personality of the Year?",6
"2015-12-17","677620167673839616","Even if David Cameron was to get agreement in Europe, would his changes go far enough for a vote to stay?",4
"2015-12-17","677623534873649153","The UK seems to have reasonable requests! Why is the EU flirting with a ""Brexit'?",4
"2015-12-17","677625992299618304","Do you think our military involvement  in Syria is contributing to the  radicalisation of Muslims in the UK?",4
"2015-12-17","677629793664434176","If Donald Trump becomes President of the US would it upset our special relationship?",4
"2016-01-14","687767987848376320","Are junior doctors justified in taking strike action?",5
"2016-01-14","687772769992458241","Should the UK remain a member of the EU or leave the EU?",5
"2016-01-14","687777560999100416","Given London’s housing crisis, when will we start introducing a rent cap?",5
"2016-01-14","687780525268926464","Shouldn’t all police officers carry guns to better protect the UK and manage the increasing terrorist threat?",5
"2016-01-14","687782120341766144","Do we need an ‘English’ national anthem?",5
"2016-01-21","690304730984247296","What action should be taken against Russia following the conclusion of the Litvinenko inquiry?",5
"2016-01-21","690307530807992320","Isn’t it about time Northern Ireland moved with the times and legalised gay marriage?",5
"2016-01-21","690310720244862977","What consequences would a Brexit have for the UK?",5
"2016-01-21","690314484762701824","Will Northern Irish politics ever get to the state where we have a ruling party and an opposition or will this forced marriage continue indefinitely?",5
"2016-01-21","690317600128122880","Are Donald Trump and Sarah Palin the “Dream Team” for the US election?",5
"2016-01-28","692841401327878145","The average worker pays 20% tax but Google pay only 3%. Why is it one rule for multinational corporations and another for hard working people?",5
"2016-01-28","692845855137669120","Can Britain afford (or cope) with taking more refugees?",5
"2016-01-28","692849626479636480","What will be the single most important factor that influences voters in the pcoming EU Referendum?",5
"2016-01-28","692852526647898112","Why is it cheaper to travel from Sheffield to Essex by air via Berlin than on Britain’s railway?",5
"2016-01-28","692854807346810881","When and where is it acceptable to wear one's pyjamas?",5
"2016-02-04","695378084430684160","Has David Cameron done enough to  convince the nation to stay in Europe?",4
"2016-02-04","695384589242540039","Why is the government only targeting  Muslim women to learn English and  not everyone from every country?",4
"2016-02-04","695388280578150401","Does politics need controversial characters like Donald Trump from time to time to revitalise interest from voters?",4
"2016-02-04","695389552542765056","Has the northern powerhouse run out of steam?",4
"2016-02-11","697914848097730561","Who is wrong : 53,000 junior doctors or Jeremy Hunt?",4
"2016-02-11","697919696725766144","We bailed out the bankers why not bail out our steel industry?",4
"2016-02-11","697923444470652928","Would Brexit be a way of controlling immigration?",4
"2016-02-11","697928310102364162","Should MP’s pay rise faster than nurses and teachers?",4
"2016-02-18","700451576947855360","Has David Cameron really done enough to persuade the British public that we should remain in the European Union?",5
"2016-02-18","700456149787742208","Was actress Emma Thompson’s description of Britain as a “cake filled misery laden, grey old island” a fair reflection of our country or just another example of metropolitan elitist snobbery?",5
"2016-02-18","700457280467238913","Do you agree with the Pope that Donald Trump is not a Christian?",5
"2016-02-18","700459488822878209","Stratford has two excellent grammar schools. Is it now time to remove the restrictions preventing new grammar schools from opening?",5
"2016-02-18","700463797400637441","My 87 year-old mother pays just over 50% more than me for electricity. Why has Ofgem been so hopeless at protecting the vulnerable?",5
"2016-02-25","702988227339280385","323,000 net migration - surely we have to leave the EU to get control?",3
"2016-02-25","702993333505941504","If we leave the EU would there be job losses and would EU trading be affected?",3
"2016-02-25","702997986616418304","Will Boris Johnson be a vote winner in the EU referendum?",3
"2016-03-03","705525055686631424","Will the EU Referendum be won based on who can scare the public more?",5
"2016-03-03","705530559766929409","Has the migrant crisis been mishandled  by the heads of the European countries?",5
"2016-03-03","705533582610178048","Cutting the top rank of income tax from 50p to 45p raised an extra £8 billion from the super-rich. Should it now be cut to 40p?",5
"2016-03-03","705536490890256386","When do we stop seeing Donald Trump as a joke candidate and more of a serious politician?",5
"2016-03-03","705538313227255811","Should tackling in rugby be banned in schools?",5
"2016-03-10","708062993045721088","Is a second independence referendum  inevitable if Britain votes to leave the EU?",4
"2016-03-10","708067827421454336","Is the in/out of Europe vote not important enough to welcome the Queen’s own views?",4
"2016-03-10","708069696487170048","Scottish Government figures yesterday revealed a £15 billion deficit. Is the economic case for independence now dead?",4
"2016-03-10","708074108748222464","With the majority of NHS trusts in Scotland in financial difficulties would the panel increase taxes to safeguard the future of the NHS?",4
"2016-03-17","710598418964545538","Why is this government cutting corporation tax at the expense of the disabled?",3
"2016-03-17","710604407415685120","The sugar tax will add about 25p  per bottle of soft drink will that  really deter parents from buying it?",3
"2016-03-17","710610547797053442","Have the public been well prepared  to vote in the EU referendum?",3
"2016-04-07","718193676183334913","Is it fair for David Cameron to use taxpayers’ money to support only one side of the EU Referendum debate?",3
"2016-04-07","718198718672084992","Can we ever have a just and fair society when it seems that only the “little people” pay their fair share of taxes?",3
"2016-04-07","718204113708851200","Should the government nationalise the British steel industry?",3
"2016-04-14","720730323294797824","On a scale of 1 to 10 — how genuine is Jeremy Corbyn’s newfound support of the EU?",4
"2016-04-14","720735373396152320","Isn’t it true that the only way to have control over UK borders and immigration is to leave the European Union?",4
"2016-04-14","720738171391209472","Has the time now come to abolish inheritance tax considering it’s simply a tax on already taxed income?",4
"2016-04-14","720743149291880448","At what stage does a politician’s private life wander into the public interest?",4
"2016-04-21","723269745164820481","Is it ok for Barack Obama to come to the UK and tell us how to vote in the EU Referendum?",4
"2016-04-21","723272182328123395","Are the Treasury right to use scare  tactics in the forthcoming referendum?",4
"2016-04-21","723278205076029440","What should Jeremy Hunt do to avoid  an all-out strike by junior doctors?",4
"2016-04-21","723282289078185984","As we have a ‘minimum’ wage, should  we introduce a ‘maximum’ wage?",4
"2016-04-28","725803644633894917","In light of the remarks made by Ken Livingstone, is there an issue surrounding anti-semitism within the Labour Party?",4
"2016-04-28","725807038362701824","Who should be held accountable over Hillsborough and the ensuing cover up?",4
"2016-04-28","725811417564221440","If we stay in the EU how can immigration be controlled to ensure jobs and services are not stretched to collapse?",4
"2016-04-28","725816974970904576","Will Brexit inevitably lead to the breakup of the United Kingdom?",4
"2016-05-05","728340532112592896","Few thought Leicester would win the Premier League or that Donald Trump would be the Republican nominee...what odds would the panel give on him becoming President of America?",4
"2016-05-05","728343664544591873","If the economic impact of Brexit is so difficult to predict, should we base our referendum vote on moral principles?",4
"2016-05-05","728350156165386242","Is it right that 6 and 7 year olds should have to go on strike to express theirs and their parents feeling regardings Sats?",4
"2016-05-05","728353027300691968","If Labour perform badly at today's local elections, should Jeremy Corbyn's position as leader come under threat?",4
"2016-05-12","730877050291146752","Does the recent election result show that Scotland is not as left-wing as we thought?",5
"2016-05-12","730881269224099841","Was lain Duncan Smith right when he stated that the European Union favours the ""haves over the have nots""?",5
"2016-05-12","730886027116748801","Was the BBC right to broadcast the Queen's comment about the Chinese or is the Queen entitled to have a private conversation?",5
"2016-05-12","730887443763867648","Is the named person scheme an uncacceptable intrusion by the state into family life?",5
"2016-05-12","730890037961854976","With job losses in the oil & gas industry being significantly greater than in UK steel, why is it not being given a proportional level of media coverage and political support?",5
"2016-05-19","733413605329096704","Is it racist to want to leave the EU?",4
"2016-05-19","733418585838759936","The Vote Remain campaign says we receive £10 back for every £1 we give to the EU. Vote Leave says we pay £350 million per week and get half back? Who's right?",4
"2016-05-19","733421798612668416","After the junior doctor's debacle, isn't it time for the NHS to be ran independently, rather than continually being a politicial football?",4
"2016-05-19","733425489738522625","Prison reform has included suggestions that some prisoners will only go to prison at weekends and be given iPads. Are we being soft on crime?",4
"2016-05-26","735950573552447488","In light of the EU migration figures published today, how are our public services going to cope?",2
"2016-05-26","735957033241980928","Is it worth another two years of austerity to leave the EU?",2
"2016-06-02","738487740145258497","Will leaving the EU increase my chances of getting on the property ladder or decrease them?",4
"2016-06-02","738489998362726400","Isn’t it true that no one really knows the effects of leaving the EU because no country has left before?",4
"2016-06-02","738495798443397120","With his “half-hearted support for Remain” is Jeremy Corbyn secretly hinting to the British people that we should leave the EU?",4
"2016-06-02","738499714597982208","Are David Cameron’s days as Prime Minster  numbered?",4
"2016-06-09","741023981550096384","Yesterday, William Hague said that voters should  not make their decision in the Referendum on the  basis of controlling immigration. Do you agree?",3
"2016-06-09","741029283146125312","The Eurozone seems to be lurching from one economic crisis to another. Should we not distance ourselves now from future economic risk?",3
"2016-06-09","741036377526161408","Will an unintended consequence of Brexit be the break-up of the United Kingdom?",3
"2016-06-15","743137736543059968","If we do vote to leave the EU, will you be supporting George Osbourne’s “punishment budget’?",5
"2016-06-15","743140131025059841","Everything in life has risks. Being honest, what do you feel are the risks if Britain leaves the EU?",5
"2016-06-15","743142018499645440","I run a small service business and over 50% of our trade is with the EU. How can you possibly guarantee my business and other small businesses won't suffer as a result of pulling out?",5
"2016-06-15","743144895079194624","Is Vote Leave scaremongering saying that Turkey and its 76 million population will join the EU?",5
"2016-06-15","743147839845449730","Does Vote Leave regret using the £350 million a week on its battle bus?",5
"2016-06-19","744587039132258304","Has this referendum soured the political debate in this nation in light of the tragic murder of Jo Cox?",6
"2016-06-19","744588006544281600","Is the emergency Brexit budget a ‘punishment’ for Leave voters? Especially since it would risk pushing the economy into a depression that would already be reeling from the shock of Brexit?",6
"2016-06-19","744590100370165760","When the British public vote to leave,  how can you, as PM, possibly remain?",6
